username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
benimmo;2017-11-02 14:05;2;10;"I was wrong. Their main accounts, agitpolk , ComradZampolit and YuryKuznetsov65, were all listed by Twitter as troll factory ones. pic.twitter.com/LRVXYW2BWa";;;;"926087864831619072";https://twitter.com/benimmo/status/926087864831619072;
dergach4;2017-10-04 17:47;0;0;"@ComradZampolit Только хранится все это в сионистских банках!";;@ComradZampolit;;"915634465640210437";https://twitter.com/dergach4/status/915634465640210437;AgitPolk
ili4___;2017-10-04 17:22;0;1;"Будем считать, это пенсии, пособия туда утекают...";;;;"915628187408850949";https://twitter.com/ili4___/status/915628187408850949;AgitPolk
Kuleshov1950;2017-10-04 17:20;0;1;"Этот факт радует! Не всё храним в облигациях США.";;;;"915627703180644353";https://twitter.com/Kuleshov1950/status/915627703180644353;AgitPolk
KimChenIn1;2017-10-04 17:17;0;0;"Жрать штоль его будем?";;;;"915626932116627458";https://twitter.com/KimChenIn1/status/915626932116627458;AgitPolk
Vyach_Savinov;2017-10-04 17:16;0;0;"Угу... http://www. vestifinance.ru/articles/91697 ?utm_referrer=https%3A%2F%2Fzen.yandex.com …";;;;"915626649676259328";https://twitter.com/Vyach_Savinov/status/915626649676259328;AgitPolk,ComradZampolit
alexeyt09659151;2017-10-04 17:16;0;0;"Это хорошая новость: реальное золото вместо виртуальных ноликов ЗВР.";;;;"915626635067523072";https://twitter.com/alexeyt09659151/status/915626635067523072;AgitPolk,ComradZampolit
StopHatinRussia;2017-10-04 17:15;0;0;"great news! Russia top gold buying country!";;;;"915626341680209920";https://twitter.com/StopHatinRussia/status/915626341680209920;AgitPolk,ComradZampolit
ela0275;2017-10-03 06:17;0;0;"Надо было несмываемой краской замки покрасить";;;;"915098573104087040";https://twitter.com/ela0275/status/915098573104087040;RussiaInUSA,AgitPolk
vassosli;2017-09-30 20:12;0;0;"";;;;"914221521182314496";https://twitter.com/vassosli/status/914221521182314496;AgitPolk
POLARSTAR681;2017-09-30 07:53;0;0;"Их литературой даже в туалете пользоваться для подтирания противно. Нужно себя любить и не брать в руки заразу...";;;;"914035569675702272";https://twitter.com/POLARSTAR681/status/914035569675702272;spacelordrock,AgitPolk
olgaM212;2017-09-29 16:51;0;0;"Кстати, вот в ВК запись появилась, по поводу вчерашнего визга о кинопоиске https:// m.youtube.com/watch?v=NxkETX DG9hY …";;;;"913808475033128961";https://twitter.com/olgaM212/status/913808475033128961;AgitPolk
CaribunQu;2017-09-29 08:57;0;0;"гуппи Король знает что делает))";;;;"913689207842967552";https://twitter.com/CaribunQu/status/913689207842967552;KadirovRussia,AgitPolk
FromRussia11;2017-09-25 12:52;0;0;"8 лет!отсчет пошел!";;;;"912298755600388096";https://twitter.com/FromRussia11/status/912298755600388096;AgitPolk,LavrovMuesli
FsZTM76r0SoZ4mw;2017-09-25 12:45;0;0;"история возвращается";;;;"912296929169731584";https://twitter.com/FsZTM76r0SoZ4mw/status/912296929169731584;AgitPolk
tofs1a;2017-09-25 12:36;0;0;"Но это же не так. До 1960 года была националистическая партия в бундестаге";;;;"912294862044778496";https://twitter.com/tofs1a/status/912294862044778496;AgitPolk
_kotyamba;2017-09-25 12:36;0;1;"Если бы не холокост, то уже бы сделали.";;;;"912294652891598848";https://twitter.com/_kotyamba/status/912294652891598848;ya_za_Russkih,AgitPolk,ComradZampolit
_kotyamba;2017-09-25 12:35;0;0;"Шо опять?";;;;"912294474142887937";https://twitter.com/_kotyamba/status/912294474142887937;AgitPolk,LavrovMuesli
CaribunQu;2017-09-18 20:12;0;0;"лох это судьба";;;;"909872881756143617";https://twitter.com/CaribunQu/status/909872881756143617;KadirovRussia,AgitPolk
Kuleshov1950;2017-09-18 16:21;0;0;"Это не культурное противостояние, а организованное противостояние псевдокультур. Извращенцы с "ценностями"!";;;;"909814628305326080";https://twitter.com/Kuleshov1950/status/909814628305326080;AgitPolk
dead_simple;2017-09-18 15:15;0;0;"Стиль, конечно";;;;"909798001442422787";https://twitter.com/dead_simple/status/909798001442422787;AgitPolk
HmuriyVangur;2017-09-18 00:49;0;0;"Не стоит забывать и другого героя - подводника Сергея Пряминина , спасшего Мир в октябре 1986 года ценой своей жизни .";;;;"909580122021416960";https://twitter.com/HmuriyVangur/status/909580122021416960;AgitPolk
ptn_hlo;2017-09-17 18:21;0;0;"известные герои Холодной Войны История двух доблестных bл@дей pic.twitter.com/rS5D51ivHG";;@;;"909482494721953792";https://twitter.com/ptn_hlo/status/909482494721953792;AgitPolk,spacelordrock
ratmir_romanov;2017-09-15 16:50;0;0;"Retweeted АгитПолк ( @AgitPolk ): "СБУ устроили глумление над 83-летним мужчиной. Такое прощать нельзя": итоги... http:// fb.me/1Ex2lXtnB";;@AgitPolk;;"908734723563847680";https://twitter.com/ratmir_romanov/status/908734723563847680;
Jaklin70323278;2017-09-15 09:40;0;0;"Тогда не хер на нас пальцем показывать. у нас адекватности больше, и здоровья, и ума.";;;;"908626578631987200";https://twitter.com/Jaklin70323278/status/908626578631987200;AgitPolk,RUColonel
CaribunQu;2017-09-15 09:11;0;0;"после двух стаканов за скромный прайс можно - подирижировать оркестром, сплясать на сцене да-да-нет-да, полежать на рельсах";;;;"908619146979659776";https://twitter.com/CaribunQu/status/908619146979659776;IV1985K,AgitPolk
ReginaTolstobr1;2017-09-15 07:55;0;0;"Также точно, как и у нас.";;;;"908600220015054850";https://twitter.com/ReginaTolstobr1/status/908600220015054850;AgitPolk
ptn_hlo;2017-09-14 13:28;0;0;"pic.twitter.com/GD0gIyEjiZ";;;;"908321634939006976";https://twitter.com/ptn_hlo/status/908321634939006976;AgitPolk,LavrovMuesli
belobrisova67;2017-09-14 11:51;0;0;"@LavrovMuesli А на Путина гонят, что четвертый срок! А сами! Меняйте своих,а потом России указывать будите!";;@LavrovMuesli;;"908297253676355584";https://twitter.com/belobrisova67/status/908297253676355584;AgitPolk
mrom57;2017-09-14 09:59;0;2;"выбора нет,а вот демократия есть...так говорят!";;;;"908268934687858688";https://twitter.com/mrom57/status/908268934687858688;AgitPolk,LavrovMuesli
GiannaNikitina;2017-09-14 09:07;0;0;"Если бы да кабы во рту выросли грибы никто б в лес не ходил бы"-говорят русские хакеры.";;;;"908255796873625600";https://twitter.com/GiannaNikitina/status/908255796873625600;AgitPolk
_serhood_;2017-09-14 08:57;0;0;""Необходима ротация власти! Не потерпим!" - "это Германия" - "демократический выбор цивилизованного народа"";;;;"908253236074774528";https://twitter.com/_serhood_/status/908253236074774528;AgitPolk,LavrovMuesli
sv_igonin;2017-09-14 07:53;0;0;"Меркель останется, она как Мерседес, можно ругать, но всё равно его покупать";;;;"908237325821411328";https://twitter.com/sv_igonin/status/908237325821411328;AgitPolk,LavrovMuesli
KirichukT;2017-09-14 07:53;0;0;"А что пожизненно остается меркель гитлер по возрождению 4 Рейха в Германии";;;;"908237230870810625";https://twitter.com/KirichukT/status/908237230870810625;AgitPolk,LavrovMuesli
kayzerova;2017-09-14 07:52;0;0;"Кто угодно, только не Меркель! Меркель должен уйти!";;;;"908236880893923329";https://twitter.com/kayzerova/status/908236880893923329;AgitPolk,LavrovMuesli
DaimosShip;2017-09-14 07:49;0;0;"Да там давно как и в США выбора нету фактически.";;;;"908236340537556992";https://twitter.com/DaimosShip/status/908236340537556992;AgitPolk
Kostya_manager_;2017-09-14 07:48;0;0;"Что с её ногтями?";;;;"908235989520445441";https://twitter.com/Kostya_manager_/status/908235989520445441;AgitPolk
PMC_Kriga;2017-09-14 07:28;0;0;"pic.twitter.com/ZxLVjxZjIb";;;;"908230950605217792";https://twitter.com/PMC_Kriga/status/908230950605217792;KadirovRussia,AgitPolk
mrak65999;2017-09-13 20:02;0;0;"Марсианин Русская версия блять";;;;"908058312075350016";https://twitter.com/mrak65999/status/908058312075350016;volkova__v,AgitPolk
aleksty7;2017-09-08 02:45;1;0;"Запасы делаю, третий погреб набиваю";;;;"905985330184114176";https://twitter.com/aleksty7/status/905985330184114176;shadddaur,AgitPolk
OlgaIvanova13;2017-09-07 15:13;0;0;"Кто пришел знакомиться с новым консулом США в Екатеринбурге | AgitPolk http:// agitpolk.ru/2017/09/06/kon sul/ …";;;;"905811186167554048";https://twitter.com/OlgaIvanova13/status/905811186167554048;
_Svift_;2017-09-07 02:55;0;0;"Кто пришел знакомиться с новым консулом США в Екатеринбурге | AgitPolk http:// agitpolk.ru/2017/09/06/kon sul/ …";;;;"905625463577604096";https://twitter.com/_Svift_/status/905625463577604096;
GaninaSA;2017-09-06 18:28;2;0;"Кто пришел знакомиться с новым консулом США в Екатеринбурге | AgitPolk http:// agitpolk.ru/2017/09/06/kon sul/ …";;;;"905497920585302016";https://twitter.com/GaninaSA/status/905497920585302016;
red_army_91;2017-09-04 09:10;0;0;"Не Калашниковым единым. Русские изобретения покорившие мир | AgitPolk http:// agitpolk.ru/2017/09/03/izo bretiniya/ …";;;;"904632712421658624";https://twitter.com/red_army_91/status/904632712421658624;
zaza_pill;2017-09-03 15:17;0;0;"Не Калашниковым единым | AgitPolk http:// agitpolk.ru/2017/09/03/izo bretiniya/ …";;;;"904362776512122880";https://twitter.com/zaza_pill/status/904362776512122880;
Barbudos2000;2017-09-03 11:22;10;2;"Илья Белоус: Беломонархические движения и царебожники | AgitPolk http:// agitpolk.ru/2017/01/13/bel omonarhicheskie_dvizheniya/ …";;;;"904303676625444868";https://twitter.com/Barbudos2000/status/904303676625444868;
Kotsprimusom;2017-09-02 18:57;0;0;"Откуда взялись 30 миллионов? | AgitPolk http:// agitpolk.ru/2017/09/02/30_ millions …";;;;"904055683712245760";https://twitter.com/Kotsprimusom/status/904055683712245760;
VoroshilovSS;2017-08-31 18:57;0;1;"Кто на свете всех сильней? | AgitPolk http:// agitpolk.ru/2017/08/31/252 9/ …";;;;"903330834031267840";https://twitter.com/VoroshilovSS/status/903330834031267840;
amicableru;2017-08-31 17:32;1;0;"Кто на свете всех сильней? | AgitPolk http:// agitpolk.ru/2017/08/31/252 9/ …";;;;"903309570000474113";https://twitter.com/amicableru/status/903309570000474113;
infago_rus;2017-08-31 03:37;0;0;"Окончательная гибель свободы слова на Украине | AgitPolk http:// agitpolk.ru/2017/08/30/svo bodaslova/ …";;;;"903099379208290304";https://twitter.com/infago_rus/status/903099379208290304;
OldHatamoto;2017-08-30 18:54;0;0;"Окончательная гибель свободы слова на Украине | AgitPolk http:// agitpolk.ru/2017/08/30/svo bodaslova/ …";;;;"902967878579867649";https://twitter.com/OldHatamoto/status/902967878579867649;
CaribunQu;2017-08-29 07:44;0;10;"так стреляли ночью и не предупредили заранее";;;;"902436778803695616";https://twitter.com/CaribunQu/status/902436778803695616;rishikesh_news,AgitPolk
Vadim777K;2017-08-29 07:33;0;0;"Ни кто там не увольняется. У нас МЧС помогает и другие службы, причём оперативно. А на западе сперва калькулятор возьмут в руки.";;;;"902434028690841601";https://twitter.com/Vadim777K/status/902434028690841601;rishikesh_news,AgitPolk
goodaaa1;2017-08-28 08:18;0;0;"Вот из-за этого точно!)))";;;;"902082925155553281";https://twitter.com/goodaaa1/status/902082925155553281;1959Voa,dimsmirnov175,AgitPolk
oksanaylia1;2017-08-27 20:14;5;7;"#НашСоветскийФильм – киноленты объединившие поколения | AgitPolk http:// agitpolk.ru/2017/08/27/555 47/ …";;;#;"901900847138910208";https://twitter.com/oksanaylia1/status/901900847138910208;
SANKOYIN;2017-08-27 06:34;0;1;"Анонс акции #НашСоветскийФильм | AgitPolk http:// agitpolk.ru/2017/08/26/sov et_film …";;;#;"901694305487736832";https://twitter.com/SANKOYIN/status/901694305487736832;
tornovoi;2017-08-25 21:01;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"901187751474847746";https://twitter.com/tornovoi/status/901187751474847746;
Crimeanfruit;2017-08-25 17:15;0;0;"Истории героизма и мастерства лётного экипажа | AgitPolk http:// agitpolk.ru/2017/08/25/ist oriisamoleti …";;;;"901131045743013888";https://twitter.com/Crimeanfruit/status/901131045743013888;
Aleaks999;2017-08-25 09:17;0;1;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"901010704983044096";https://twitter.com/Aleaks999/status/901010704983044096;
Romitlab;2017-08-24 06:46;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900610330866458627";https://twitter.com/Romitlab/status/900610330866458627;
53_ganiev;2017-08-24 05:22;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900589123983028225";https://twitter.com/53_ganiev/status/900589123983028225;
MARINAAZHARDO;2017-08-23 19:02;1;1;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900433140266741760";https://twitter.com/MARINAAZHARDO/status/900433140266741760;
hrama2;2017-08-23 18:31;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900425403327754240";https://twitter.com/hrama2/status/900425403327754240;
svsbab;2017-08-23 16:49;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900399703224975361";https://twitter.com/svsbab/status/900399703224975361;
UK_NasheDelo;2017-08-23 16:31;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900395089784164353";https://twitter.com/UK_NasheDelo/status/900395089784164353;
asinzevko;2017-08-23 16:25;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900393590823809025";https://twitter.com/asinzevko/status/900393590823809025;
Roman_Vityazev;2017-08-23 16:18;0;0;"Люди творчества не каста неприкасаемых, в том числе и Серебренников | AgitPolk http:// agitpolk.ru/2017/08/23/ser ebrennikov/ …";;;;"900391828536655872";https://twitter.com/Roman_Vityazev/status/900391828536655872;
ANDRik22;2017-08-22 08:59;0;0;"#ПривлечьРостовскихЗастройщиков к ответу | AgitPolk http:// agitpolk.ru/2017/08/21/ros tov_zastroy_otvet/ … #";;;# #;"899918972434436098";https://twitter.com/ANDRik22/status/899918972434436098;
Stariy_Firs;2017-08-22 07:16;0;0;"а сейчас у нас не люди,а Продажное быдло на иномарках, в открытую работающее на заграницу поганую!";;;;"899893107034124288";https://twitter.com/Stariy_Firs/status/899893107034124288;KGBKAratelnyi,AgitPolk
Stariy_Firs;2017-08-21 19:19;0;0;"наше Тупое и продажное быдло на иномарках,в открытую работающее на заграницу поганую, без заграницы жить не может!";;;;"899712547200401408";https://twitter.com/Stariy_Firs/status/899712547200401408;A_Gasparyan,AgitPolk
wolfnatalia;2017-08-21 15:50;2;2;"#ПривлечьРостовскихЗастройщиков к ответу | AgitPolk http:// agitpolk.ru/2017/08/21/ros tov_zastroy_otvet …";;;#;"899660033167958016";https://twitter.com/wolfnatalia/status/899660033167958016;
IsaevaRuss;2017-08-21 07:06;1;0;"Трагедия в Барселоне | AgitPolk http:// agitpolk.ru/2017/08/18/ter ror/ …";;;;"899528055525388288";https://twitter.com/IsaevaRuss/status/899528055525388288;
JumataevaMake;2017-08-20 06:34;0;0;"#Август1991 :Попытка спасти союз или агония? | AgitPolk http:// agitpolk.ru/2017/08/19/avg ust1991/ …";;;#;"899157633562705920";https://twitter.com/JumataevaMake/status/899157633562705920;
_z_studio_;2017-08-19 20:18;0;1;"#Август1991 :Попытка спасти союз или агония? | AgitPolk http:// agitpolk.ru/2017/08/19/avg ust1991/ …";;;#;"899002746434711553";https://twitter.com/_z_studio_/status/899002746434711553;
sold701;2017-08-19 08:58;0;4;"Это надо же таким идиотом быть....";;;;"898831602125488129";https://twitter.com/sold701/status/898831602125488129;
CaribunQu;2017-08-16 09:17;0;0;"да и поступил";;;;"897749048609865728";https://twitter.com/CaribunQu/status/897749048609865728;Alexey_Pushkov,AgitPolk
koshkarre1;2017-08-12 18:53;0;0;"О новейших разработках и героях ВВС России | AgitPolk http:// agitpolk.ru/2017/08/11/voe nnayaaviaciya …";;;;"896444422719766529";https://twitter.com/koshkarre1/status/896444422719766529;
panma13;2017-08-10 19:30;0;0;"Революция, пресеченная на корню | AgitPolk http:// agitpolk.ru/2017/08/10/225 4/ …";;;;"895729114727895040";https://twitter.com/panma13/status/895729114727895040;
ArosaAsora;2017-08-09 18:59;0;0;"Свобода Удальцова - перемены в оппозиции? | AgitPolk http:// agitpolk.ru/2017/08/08/yda ltsov …";;;;"895358836357427200";https://twitter.com/ArosaAsora/status/895358836357427200;
oksanaylia1;2017-08-08 16:22;7;6;"Недолго продолжался бой: грузино-осетинский конфликт | AgitPolk http:// agitpolk.ru/2017/08/08/08_ 08_08 …";;;;"894957004153925633";https://twitter.com/oksanaylia1/status/894957004153925633;
Stariy_Firs;2017-08-08 09:33;0;0;"америка вмешивается во все страны! Почему наш лавров -гад не отвечает адекватно варварам?";;;;"894853956735827968";https://twitter.com/Stariy_Firs/status/894853956735827968;spacelordrock,AgitPolk
aerodreamm;2017-08-07 20:09;1;2;"Анонс акции #АвгустВосьмого | AgitPolk http:// agitpolk.ru/2017/08/07/223 3/ …";;;#;"894651634051108864";https://twitter.com/aerodreamm/status/894651634051108864;
PoliticaInferno;2017-08-07 18:27;0;0;"Сербофобия как диагноз | AgitPolk http:// agitpolk.ru/2017/08/07/gen ocidserbov/ …";;;;"894626148365336576";https://twitter.com/PoliticaInferno/status/894626148365336576;
georgijemn;2017-08-07 16:45;8;6;"Сербофобия как диагноз | AgitPolk http:// agitpolk.ru/2017/08/07/gen ocidserbov/ …";;;;"894600378179833860";https://twitter.com/georgijemn/status/894600378179833860;
dimsarostov;2017-08-06 06:13;0;0;"Зато есть понты с рыбалкой pic.twitter.com/MnUE2PF4rS";;;;"894078989811286017";https://twitter.com/dimsarostov/status/894078989811286017;Stariy_Firs,dimsmirnov175,AgitPolk
Stariy_Firs;2017-08-06 04:56;0;1;"президенты уважающих себя стран ездят на СВОИХ автомобилях,и только наш Продажный путин ездит на иномарке!";;;;"894059654455676928";https://twitter.com/Stariy_Firs/status/894059654455676928;dimsmirnov175,AgitPolk
Stariy_Firs;2017-08-06 04:53;0;1;"на жигулях ездили что ли?";;;;"894058951632973824";https://twitter.com/Stariy_Firs/status/894058951632973824;dimsmirnov175,AgitPolk
chitatel33333;2017-08-05 17:04;0;1;"Бесстрашные гости: иностранцы, посещавшие Крым | AgitPolk http:// agitpolk.ru/2017/08/04/cri mea_guests …";;;;"893880456294395904";https://twitter.com/chitatel33333/status/893880456294395904;
tany1876;2017-08-05 08:27;0;0;"Бесстрашные гости: иностранцы, посещавшие Крым | AgitPolk http:// agitpolk.ru/2017/08/04/cri mea_guests …";;;;"893750240456658945";https://twitter.com/tany1876/status/893750240456658945;
evnegov;2017-08-05 03:39;0;0;"#УмираюНоНеСдаюсь | AgitPolk http:// agitpolk.ru/2017/07/20/umi rayanonesdaius/ …";;;#;"893677705014718464";https://twitter.com/evnegov/status/893677705014718464;
evnegov;2017-08-05 03:38;0;0;"Бесстрашные гости: иностранцы, посещавшие Крым | AgitPolk http:// agitpolk.ru/2017/08/04/cri mea_guests …";;;;"893677442476507136";https://twitter.com/evnegov/status/893677442476507136;
aleks5507;2017-08-04 10:37;0;0;"Новые санкции вскрыли глубокий конфликт между Европой и США | AgitPolk http:// agitpolk.ru/2017/08/03/san kcii/ …";;;;"893420716028284929";https://twitter.com/aleks5507/status/893420716028284929;
N1VIZLibStL1Ff4;2017-07-29 11:43;1;2;"Анонс акции #ПодФлагомАндреевским | AgitPolk http:// agitpolk.ru/2017/07/29/pod flagomandreevskim/ …";;;#;"891262967949479939";https://twitter.com/N1VIZLibStL1Ff4/status/891262967949479939;
a_palchun;2017-07-28 18:57;0;0;"Праздник Крещения Руси | AgitPolk http:// agitpolk.ru/2017/07/28/kre shenie/ …";;;;"891009641378975749";https://twitter.com/a_palchun/status/891009641378975749;
JumataevaMake;2017-07-25 18:32;0;0;"Обещанного три года ждут. Получит ли Украина летальное оружие США? | AgitPolk http:// agitpolk.ru/2017/07/25/usa weapon/ …";;;;"889916388705480705";https://twitter.com/JumataevaMake/status/889916388705480705;
amicableru;2017-07-24 11:56;4;2;"Армия и общество | AgitPolk http:// agitpolk.ru/2017/07/24/arm y_i_obshestvo/ …";;;;"889454134587510784";https://twitter.com/amicableru/status/889454134587510784;
infago_rus;2017-07-24 08:50;0;0;"Армия и общество | AgitPolk http:// agitpolk.ru/2017/07/24/arm y_i_obshestvo/ …";;;;"889407339077525504";https://twitter.com/infago_rus/status/889407339077525504;
Stariy_Firs;2017-07-23 16:08;0;0;"наше Тупое и продажное быдло на иномарках,работающее на заграницу-это и есть потомки недобитых бандеровцев!";;;;"889155294068178945";https://twitter.com/Stariy_Firs/status/889155294068178945;A_Gasparyan,AgitPolk
AkimenkoDarya;2017-07-21 14:57;0;0;"Антиутопия в современной реальности: как технологии воссоздают мир Оруэлла в Китае | AgitPolk http:// agitpolk.ru/2017/07/20/big _brother …";;;;"888412581072969729";https://twitter.com/AkimenkoDarya/status/888412581072969729;
SergeyMikhaelov;2017-07-20 18:08;0;0;"Антиутопия в современной реальности: как технологии воссоздают мир Оруэлла в Китае | AgitPolk http:// agitpolk.ru/2017/07/20/big _brother …";;;;"888098182667915264";https://twitter.com/SergeyMikhaelov/status/888098182667915264;
JumataevaMake;2017-07-19 17:49;0;0;"Гиркин vs Навальный: кому нужны дебаты? | AgitPolk http:// agitpolk.ru/2017/07/19/gir kin_vs_navalny …";;;;"887731116148486145";https://twitter.com/JumataevaMake/status/887731116148486145;
milashen;2017-07-15 17:31;0;0;""Пушечное мясо" Алексея Навального | AgitPolk http:// agitpolk.ru/2017/07/15/ava lny/ …";;;;"886277067402350592";https://twitter.com/milashen/status/886277067402350592;
ru5500;2017-07-15 16:20;0;0;""Пушечное мясо" Алексея Навального | AgitPolk http:// agitpolk.ru/2017/07/15/ava lny/ …";;;;"886259138711478272";https://twitter.com/ru5500/status/886259138711478272;
somik195311;2017-07-14 08:07;0;0;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ …";;;#;"885772709837275138";https://twitter.com/somik195311/status/885772709837275138;
RasputinDonbass;2017-07-13 17:26;0;0;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ …";;;#;"885551121271582721";https://twitter.com/RasputinDonbass/status/885551121271582721;
Putinisright;2017-07-13 07:32;1;1;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ …";;;#;"885401479292571648";https://twitter.com/Putinisright/status/885401479292571648;
natasoko69;2017-07-13 05:09;0;0;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ …";;;#;"885365590948548608";https://twitter.com/natasoko69/status/885365590948548608;
26Zulfiya;2017-07-12 19:28;1;1;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ …";;;#;"885219349111373824";https://twitter.com/26Zulfiya/status/885219349111373824;
fil2008331;2017-07-12 17:58;0;0;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ … #";;;# #;"885196616176742403";https://twitter.com/fil2008331/status/885196616176742403;
tatyakuku;2017-07-12 17:57;0;0;"В день рождения прекрасного писателя, которого с нами уже нет, проводим акцию #ПамятиБузины | AgitPolk http:// agitpolk.ru/2017/07/12/buz ina/ …";;;#;"885196373947297793";https://twitter.com/tatyakuku/status/885196373947297793;
Arthimmm;2017-07-12 13:02;0;0;"Крым 2020 | AgitPolk http:// agitpolk.ru/2017/07/05/cri mea2020/ …";;;;"885122183407816705";https://twitter.com/Arthimmm/status/885122183407816705;
nat50_50;2017-07-10 04:13;0;0;"Кто совершит технологический прорыв | AgitPolk http:// agitpolk.ru/2017/07/09/124 5/ …";;;;"884264309890666497";https://twitter.com/nat50_50/status/884264309890666497;
pyzan;2017-07-10 01:47;0;0;"Кто совершит технологический прорыв | AgitPolk http:// agitpolk.ru/2017/07/09/124 5/ …";;;;"884227514989633536";https://twitter.com/pyzan/status/884227514989633536;
IgorMelikov;2017-07-09 17:39;0;0;"Кто совершит технологический прорыв | AgitPolk http:// agitpolk.ru/2017/07/09/124 5/ …";;;;"884104733748756484";https://twitter.com/IgorMelikov/status/884104733748756484;
b2v82;2017-07-09 16:33;0;1;"Кто совершит технологический прорыв | AgitPolk http:// agitpolk.ru/2017/07/09/124 5/ …";;;;"884088237286989824";https://twitter.com/b2v82/status/884088237286989824;
Nastia100000000;2017-07-08 23:31;0;0;"Крым 2020 | AgitPolk http:// agitpolk.ru/2017/07/05/cri mea2020/ …";;;;"883831040460062720";https://twitter.com/Nastia100000000/status/883831040460062720;
liliosipen;2017-07-08 00:17;0;0;""Это были очень непростые два часа для Петра Алексеевича". Итоги встречи Путина и Трампа | AgitPolk http:// agitpolk.ru/2017/07/07/put in_tramp/ …";;;;"883480186909544448";https://twitter.com/liliosipen/status/883480186909544448;
tyutyunnikovvy1;2017-07-07 21:56;0;0;""Это были очень непростые два часа для Петра Алексеевича". Итоги встречи Путина и Трампа | AgitPolk http:// agitpolk.ru/2017/07/07/put in_tramp/ …";;;;"883444618507034624";https://twitter.com/tyutyunnikovvy1/status/883444618507034624;
zedolazer;2017-07-07 19:10;5;11;""Это были очень непростые два часа для Петра Алексеевича". Итоги встречи Путина и Трампа | AgitPolk http:// agitpolk.ru/2017/07/07/put in_tramp/ … #";;;#;"883402956086820865";https://twitter.com/zedolazer/status/883402956086820865;
kbctyjxtr;2017-07-07 19:00;2;2;""Это были очень непростые два часа для Петра Алексеевича". Итоги встречи Путина и Трампа | AgitPolk http:// agitpolk.ru/2017/07/07/put in_tramp/ …";;;;"883400418558042119";https://twitter.com/kbctyjxtr/status/883400418558042119;
oksanaylia1;2017-07-07 18:58;3;1;""Это были очень непростые два часа для Петра Алексеевича". Итоги встречи Путина и Трампа | AgitPolk http:// agitpolk.ru/2017/07/07/put in_tramp/ …";;;;"883399967179657217";https://twitter.com/oksanaylia1/status/883399967179657217;
amicableru;2017-07-07 18:57;15;18;""Это были очень непростые два часа для Петра Алексеевича". Итоги встречи Путина и Трампа | AgitPolk http:// agitpolk.ru/2017/07/07/put in_tramp/ … #";;;#;"883399527692025864";https://twitter.com/amicableru/status/883399527692025864;
CanonCapustina;2017-07-06 16:40;0;0;"ли Сталин Войну? Когда на самом деле началась Вторая мировая? | AgitPolk http:// agitpolk.ru/2017/07/06/269 7/ …";;;;"883002825156022272";https://twitter.com/CanonCapustina/status/883002825156022272;
SlavgorVladimir;2017-07-05 09:00;1;0;"Забытый генерал | AgitPolk http:// agitpolk.ru/2017/07/03/176 2/ … pic.twitter.com/6p4BZ6Iwev";;;;"882524694116802560";https://twitter.com/SlavgorVladimir/status/882524694116802560;
