username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Patti53489797;2017-08-18 19:40;0;0;"He is not relevant. You can be sure he understands what is really happening and has chosen to go with evil. God Bless America & POTUS.";;;;"898630633907531776";https://twitter.com/Patti53489797/status/898630633907531776;emmajackt,kimmieguy
Gino_Juppe;2017-08-18 17:35;2;1;"Him and McCain each took a dive in their campaigns, like a rigged boxing match.";;;;"898599290922164224";https://twitter.com/Gino_Juppe/status/898599290922164224;emmajackt,Anthony37900265
WesleyTBrown2;2017-08-18 16:05;0;0;"Every week is a bad week for the #LyingMedia . Things continue to improve FOR Americans. They continue to fight it, hoping to destroy Trump.";;;#LyingMedia;"898576658038312962";https://twitter.com/WesleyTBrown2/status/898576658038312962;emmajackt
kimmieguy;2017-08-18 16:00;1;1;"Yep. pic.twitter.com/my7toBJNDA";;;;"898575222781091842";https://twitter.com/kimmieguy/status/898575222781091842;emmajackt,wilsoa2000
GregWest_HALOJM;2017-08-18 15:47;0;0;"Mitt Romney's new book: How to Lose a Campaign in less than 30 days! He should've easily won in 2012.";;;;"898572098808889345";https://twitter.com/GregWest_HALOJM/status/898572098808889345;emmajackt
Vet_Lazarus64;2017-08-18 09:47;1;1;"Michael Moore Proof Of A Living Abortion! BrainDead Moron! Loose Some Weight Fool..& Sew Ur mouth shut so no more comes out of it! MAGA";;;;"898481485023330304";https://twitter.com/Vet_Lazarus64/status/898481485023330304;emmajackt
policrits;2017-08-17 19:56;0;0;"Hi Emma! @emmajackt Thanks for following. I blog at http://www. policrits.com . If you get bored take a look! Craig";;@emmajackt;;"898272249299451904";https://twitter.com/policrits/status/898272249299451904;
feduptami;2017-08-17 03:00;1;2;"pic.twitter.com/Yhw7muk5ZD";;;;"898016757704732675";https://twitter.com/feduptami/status/898016757704732675;CynthiaRunnels1,rromona
AJ4DT2020;2017-08-17 02:54;0;3;"Someone just PMed this to me. Omg is fake docJ gone crazy this person that sent me this said DrJ was going to kill her. Even made a RP pic.twitter.com/b7xvsc37lk";;;;"898015225022222337";https://twitter.com/AJ4DT2020/status/898015225022222337;CynthiaRunnels1,GloriaBudde
rromona;2017-08-17 02:37;0;1;"Okay thanks";;;;"898010756935012357";https://twitter.com/rromona/status/898010756935012357;CynthiaRunnels1,bamajamminbob
Brady_PTA;2017-08-17 02:36;0;1;"Rotflmfao";;;;"898010593969528832";https://twitter.com/Brady_PTA/status/898010593969528832;
